match_id,series,start_local,ground_name,home_team_name,home_team_bat_status,away_team_name,away_team_bat_status,bat_first,match_winner,toss_winner
551045,Bangladesh Prem L,10/02/2012 14:00,"Shere Bangla National Stadium, Mirpur",Barisal Burners,target reached,Sylhet Royals,complete,Away,Home,Home
551046,Bangladesh Prem L,10/02/2012 18:30,"Shere Bangla National Stadium, Mirpur",Chittagong Kings,complete,Duronto Rajshahi,all out,Home,Home,Home
551047,Bangladesh Prem L,11/02/2012 14:00,"Shere Bangla National Stadium, Mirpur",Dhaka Gladiators,complete,Khulna Royal Bengals,complete,Away,Away,Away
551048,Bangladesh Prem L,11/02/2012 18:30,"Shere Bangla National Stadium, Mirpur",Barisal Burners,complete,Duronto Rajshahi,complete,Home,Home,Home
551049,Bangladesh Prem L,12/02/2012 14:00,"Shere Bangla National Stadium, Mirpur",Chittagong Kings,target reached,Khulna Royal Bengals,complete,Away,Home,Away
551050,Bangladesh Prem L,12/02/2012 18:30,"Shere Bangla National Stadium, Mirpur",Dhaka Gladiators,target reached,Sylhet Royals,all out,Away,Home,Away
551051,Bangladesh Prem L,13/02/2012 14:00,"Shere Bangla National Stadium, Mirpur",Barisal Burners,all out,Khulna Royal Bengals,target reached,Home,Away,Away
551052,Bangladesh Prem L,13/02/2012 18:30,"Shere Bangla National Stadium, Mirpur",Chittagong Kings,complete,Dhaka Gladiators,target reached,Home,Away,Home
551053,Bangladesh Prem L,14/02/2012 14:00,"Shere Bangla National Stadium, Mirpur",Duronto Rajshahi,complete,Sylhet Royals,complete,Home,Home,Home
551054,Bangladesh Prem L,14/02/2012 18:30,"Shere Bangla National Stadium, Mirpur",Barisal Burners,complete,Dhaka Gladiators,complete,Away,Away,Home
551055,Bangladesh Prem L,15/02/2012 14:00,"Shere Bangla National Stadium, Mirpur",Chittagong Kings,target reached,Sylhet Royals,complete,Away,Home,Away
551056,Bangladesh Prem L,15/02/2012 18:30,"Shere Bangla National Stadium, Mirpur",Duronto Rajshahi,target reached,Khulna Royal Bengals,complete,Away,Home,Away
551057,Bangladesh Prem L,16/02/2012 14:00,"Shere Bangla National Stadium, Mirpur",Barisal Burners,complete,Chittagong Kings,target reached,Home,Away,Away
551058,Bangladesh Prem L,16/02/2012 18:30,"Shere Bangla National Stadium, Mirpur",Dhaka Gladiators,complete,Duronto Rajshahi,complete,Away,Away,Home
551059,Bangladesh Prem L,18/02/2012 14:00,"Zahur Ahmed Chowdhury Stadium, Chittagong",Khulna Royal Bengals,complete,Sylhet Royals,complete,Home,Home,Away
551060,Bangladesh Prem L,18/02/2012 18:30,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong Kings,complete,Duronto Rajshahi,complete,Away,Away,Away
551061,Bangladesh Prem L,19/02/2012 14:00,"Zahur Ahmed Chowdhury Stadium, Chittagong",Dhaka Gladiators,complete,Khulna Royal Bengals,target reached,Home,Away,Home
551062,Bangladesh Prem L,19/02/2012 18:30,"Zahur Ahmed Chowdhury Stadium, Chittagong",Barisal Burners,target reached,Sylhet Royals,complete,Away,Home,Away
551063,Bangladesh Prem L,20/02/2012 14:00,"Zahur Ahmed Chowdhury Stadium, Chittagong",Barisal Burners,complete,Duronto Rajshahi,target reached,Home,Away,Home
551064,Bangladesh Prem L,20/02/2012 18:30,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong Kings,all out,Khulna Royal Bengals,complete,Away,Away,Home
551065,Bangladesh Prem L,22/02/2012 14:00,"Zahur Ahmed Chowdhury Stadium, Chittagong",Dhaka Gladiators,target reached,Sylhet Royals,complete,Away,Home,Home
551066,Bangladesh Prem L,22/02/2012 18:30,"Zahur Ahmed Chowdhury Stadium, Chittagong",Barisal Burners,target reached,Khulna Royal Bengals,complete,Away,Home,Away
551067,Bangladesh Prem L,24/02/2012 14:00,"Shere Bangla National Stadium, Mirpur",Chittagong Kings,complete,Dhaka Gladiators,complete,Home,Home,Away
551068,Bangladesh Prem L,24/02/2012 18:30,"Shere Bangla National Stadium, Mirpur",Duronto Rajshahi,complete,Sylhet Royals,target reached,Home,Away,Away
551069,Bangladesh Prem L,25/02/2012 14:00,"Shere Bangla National Stadium, Mirpur",Barisal Burners,complete,Dhaka Gladiators,target reached,Home,Away,Away
551070,Bangladesh Prem L,25/02/2012 18:30,"Shere Bangla National Stadium, Mirpur",Chittagong Kings,complete,Sylhet Royals,complete,Away,Away,Home
551071,Bangladesh Prem L,26/02/2012 14:00,"Shere Bangla National Stadium, Mirpur",Duronto Rajshahi,target reached,Khulna Royal Bengals,all out,Away,Home,Away
551072,Bangladesh Prem L,26/02/2012 18:30,"Shere Bangla National Stadium, Mirpur",Barisal Burners,target reached,Chittagong Kings,complete,Away,Home,Home
551073,Bangladesh Prem L,27/02/2012 14:00,"Shere Bangla National Stadium, Mirpur",Dhaka Gladiators,all out,Duronto Rajshahi,target reached,Home,Away,Home
551074,Bangladesh Prem L,27/02/2012 18:30,"Shere Bangla National Stadium, Mirpur",Khulna Royal Bengals,complete,Sylhet Royals,all out,Home,Home,Away
551075,Bangladesh Prem L,28/02/2012 14:00,"Shere Bangla National Stadium, Mirpur",Barisal Burners,target reached,Duronto Rajshahi,complete,Away,Home,Home
551076,Bangladesh Prem L,28/02/2012 18:30,"Shere Bangla National Stadium, Mirpur",Dhaka Gladiators,complete,Khulna Royal Bengals,complete,Home,Home,Home
551077,Bangladesh Prem L,29/02/2012 18:00,"Shere Bangla National Stadium, Mirpur",Barisal Burners,complete,Dhaka Gladiators,target reached,Home,Away,Away
599865,Bangladesh Prem L,18/01/2013 14:00,"Shere Bangla National Stadium, Mirpur",Dhaka Gladiators,complete,Khulna Royal Bengals,complete,Home,Home,Home
599866,Bangladesh Prem L,18/01/2013 18:00,"Shere Bangla National Stadium, Mirpur",Barisal Burners,complete,Sylhet Royals,complete,Away,Away,Home
599867,Bangladesh Prem L,19/01/2013 14:00,"Shere Bangla National Stadium, Mirpur",Chittagong Kings,all out,Duronto Rajshahi,complete,Away,Away,Away
599868,Bangladesh Prem L,19/01/2013 18:00,"Shere Bangla National Stadium, Mirpur",Dhaka Gladiators,complete,Rangpur Riders,complete,Home,Home,Home
599869,Bangladesh Prem L,20/01/2013 14:00,"Shere Bangla National Stadium, Mirpur",Barisal Burners,target reached,Khulna Royal Bengals,complete,Away,Home,Away
