player_id,names,born,bat_type,bowl_type,height,matches,country
1138308,Methsith Jayamanna,date unknown,0,0,0,2,Sri Lanka
379879,Ayavuya Myoli,"June 8, 1990, King William's Town, Cape Province",Right-hand bat,Right-arm fast,0,23,South Africa
47146,Brendon Leigh Reddy,"November 6, 1983, Durban, Natal",Right-hand bat,Right-arm fast-medium,0,18,South Africa
1046613,Daniel Weston,"March 11, 1983",0,0,0,0,Germany
928073,William McClintock,"January 1, 1997, Ireland",Right-hand bat,Right-arm medium,0,2,Ireland
596540,Matthew Colin Christensen,"July 17, 1996, Cape Town",Right-hand bat,Right-arm offbreak,0,13,South Africa
465783,Muthuthanthrige Vishwa Thilina Fernando,"September 18, 1991, Colombo",Right-hand bat,Left-arm medium-fast,5 ft 10 in,9,Sri Lanka
39861,Atif Maqbool,"November 21, 1981, Karachi, Sind",Right-hand bat,Right-arm offbreak,0,27,Pakistan
481803,Glenton Anric Stuurman,"August 10, 1992, Oudtshoorn",Right-hand bat,Right-arm medium,0,8,South Africa
39084,Abdur Rauf Khan,"December 9, 1978, Renala Khurd, Punjab",Right-hand bat,Right-arm fast-medium,0,32,Pakistan
492674,Song Yangyang,"March 11, 1994, China",Right-hand bat,0,0,0,China
536363,Clayton Gregory Bosch,"November 10, 1992, Graaff-Reinet",Right-hand bat,Right-arm medium,0,4,South Africa
5742,Christopher Desmond Hartley,"May 24, 1982, Nambour, Queensland",Left-hand bat,0,1.69 m,55,Australia
446690,Pargat Singh,"April 13, 1992, Ropar",Right-hand bat,Right-arm offbreak,0,9,India
317248,Hafiz Saad Nasim,"April 29, 1990, Lahore, Punjab",Right-hand bat,Legbreak,0,74,Pakistan
529349,Dhiren Murji Gondaria,"December 5, 1994, Nirjapar, India",Right-hand bat,Right-arm medium-fast,0,13,Kenya
337916,Siddharth Dilip Chitnis,"May 6, 1987, Bombay (now Mumbai), Maharashtra",Right-hand bat,Right-arm offbreak,0,34,India
591339,Karan Ganesh,"October 24, 1986, Berbice, Guyana",Right-hand bat,Right-arm offbreak,0,9,United States of America
